feature,metric_type,absolute_value,value,sample_scope,unit
f0,pooled_smd,0.006973995708278162,-0.006973995708278162,train_and_validation,standardized_mean_difference
f2,pooled_smd,0.006081800071452356,-0.006081800071452356,train_and_validation,standardized_mean_difference
f7,pooled_smd,0.021147824436971774,0.021147824436971774,train_and_validation,standardized_mean_difference
f10,pooled_smd,0.010722506697106582,0.010722506697106582,train_and_validation,standardized_mean_difference
f1,max_abs_one_vs_rest_smd,0.024922967595995004,0.024922967595995004,train_and_validation,standardized_mean_difference
f3,max_abs_one_vs_rest_smd,0.035270733219491035,0.035270733219491035,train_and_validation,standardized_mean_difference
f4,max_abs_one_vs_rest_smd,0.012113411614990223,0.012113411614990223,train_and_validation,standardized_mean_difference
f5,max_abs_one_vs_rest_smd,0.02756249644109326,0.02756249644109326,train_and_validation,standardized_mean_difference
f6,max_abs_one_vs_rest_smd,0.019426430149375146,0.019426430149375146,train_and_validation,standardized_mean_difference
f8,max_abs_one_vs_rest_smd,0.007221223883420799,0.007221223883420799,train_and_validation,standardized_mean_difference
f9,max_abs_one_vs_rest_smd,0.01651062959029329,0.01651062959029329,train_and_validation,standardized_mean_difference
f11,max_abs_one_vs_rest_smd,0.007976277642342506,0.007976277642342506,train_and_validation,standardized_mean_difference
