outcome,capacity,estimand_type,name,estimate,bootstrap_standard_error,ci_lower,ci_upper,bootstrap_replicates,selected_rows,selected_fraction_exact,sample_scope,unit,test_cohort_incremental_count_estimate,test_cohort_incremental_count_ci_lower,test_cohort_incremental_count_ci_upper,count_unit,quantity_type
conversion,0.05,contrast,response_minus_random,0.0007262156201520331,6.30163166500712e-05,0.0006051048459036116,0.0008466115295714477,1000,139854,0.04999980336714108,held_out_test,incremental_outcomes_per_test_row,2031.2911751866704,1692.5333185333789,2368.0494898605302,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
conversion,0.1,contrast,response_minus_random,0.0007729092438409278,6.273527210195674e-05,0.0006511460632398265,0.0009000610075764479,1000,279709,0.0999999642485711,held_out_test,incremental_outcomes_per_test_row,2161.8974897642647,1821.3147931735496,2517.552543743014,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
conversion,0.2,contrast,response_minus_random,0.0007386960901474703,5.7875391773152464e-05,0.0006268978715101947,0.0008517841835495475,1000,559418,0.1999999284971422,held_out_test,incremental_outcomes_per_test_row,2066.2001854866776,1753.490394320322,2382.517873748787,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
conversion,0.5,contrast,response_minus_random,0.0004712534158040177,3.738573683822107e-05,0.00039859517670626736,0.0005471322146623465,1000,1398545,0.4999998212428555,held_out_test,incremental_outcomes_per_test_row,1318.1386880646758,1114.90698140851,1530.3785934421173,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
conversion,1.0,contrast,response_minus_random,0.0,0.0,0.0,0.0,1000,2797091,1.0,held_out_test,incremental_outcomes_per_test_row,0.0,0.0,0.0,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
conversion,0.05,contrast,t_learner_minus_random,0.0006379485634533809,5.3732366155582023e-05,0.0005288953708322148,0.0007405728637908035,1000,139854,0.04999980336714108,held_out_test,incremental_outcomes_per_test_row,1784.4001852983806,1479.3684816964505,2071.4496921534824,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
conversion,0.1,contrast,t_learner_minus_random,0.0006834030782075718,5.4320494455309245e-05,0.0005789970922795233,0.0007855380235037044,1000,279709,0.0999999642485711,held_out_test,incremental_outcomes_per_test_row,1911.540599426695,1619.507555841224,2197.2213357,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
conversion,0.2,contrast,t_learner_minus_random,0.0006208214161921506,5.090593652123763e-05,0.0005206034287624629,0.0007156352162412669,1000,559418,0.1999999284971422,held_out_test,incremental_outcomes_per_test_row,1736.4939958383188,1456.1751651606262,2001.6968226315016,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
conversion,0.5,contrast,t_learner_minus_random,0.00037232804190476433,3.6541060990231076e-05,0.0003023789815521038,0.0004445126533273558,1000,1398545,0.4999998212428555,held_out_test,incremental_outcomes_per_test_row,1041.4354150594393,845.7815278885556,1243.342342008067,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
conversion,1.0,contrast,t_learner_minus_random,0.0,0.0,0.0,0.0,1000,2797091,1.0,held_out_test,incremental_outcomes_per_test_row,0.0,0.0,0.0,expected_incremental_outcomes_in_test_cohort,paired_policy_value_difference
