outcome,capacity,estimand_type,name,estimate,bootstrap_standard_error,ci_lower,ci_upper,bootstrap_replicates,selected_rows,selected_fraction_exact,sample_scope,unit,test_cohort_incremental_count_estimate,test_cohort_incremental_count_ci_lower,test_cohort_incremental_count_ci_upper,count_unit,quantity_type
conversion,0.05,policy_value,random,4.8805468928099494e-05,3.747649107226289e-06,4.150814401957186e-05,5.604570069008289e-05,1000,139854,0.04999980336714108,held_out_test,incremental_outcomes_per_test_row,136.51333788956674,116.10205606384827,156.76492498892463,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
conversion,0.1,policy_value,random,9.76112868306218e-05,7.495325011320082e-06,8.301658483540281e-05,0.00011209180212451841,1000,279709,0.0999999642485711,held_out_test,incremental_outcomes_per_test_row,273.0276518923508,232.20494229384167,313.53097089627136,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
conversion,0.2,policy_value,random,0.0001952225736612436,1.4990650022640164e-05,0.00016603316967080562,0.00022418360424903682,1000,559418,0.1999999284971422,held_out_test,incremental_outcomes_per_test_row,546.0553037847016,464.40988458768334,627.0619417925427,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
conversion,0.5,policy_value,random,0.000488056434153109,3.747662505660041e-05,0.00041508292417701405,0.000560459010622592,1000,1398545,0.4999998212428555,held_out_test,incremental_outcomes_per_test_row,1365.1382594617537,1161.0247114692083,1567.6548544813566,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
conversion,1.0,policy_value,random,0.0009761132172806408,7.49532769100683e-05,0.0008301661451502872,0.0011209184219895367,1000,2797091,1.0,held_out_test,incremental_outcomes_per_test_row,2730.2774950367248,2322.050253104562,3135.3108298811353,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
conversion,0.05,policy_value,response,0.0007750210890801327,6.632341455039959e-05,0.0006471977368473258,0.0009007662009632578,1000,139854,0.04999980336714108,held_out_test,incremental_outcomes_per_test_row,2167.8045130762375,1810.2709649560236,2519.5250338185197,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
conversion,0.1,policy_value,response,0.0008705205306715496,6.972488455953436e-05,0.0007346115135068319,0.001010433860731774,1000,279709,0.0999999642485711,held_out_test,incremental_outcomes_per_test_row,2434.9251416566153,2054.775252926338,2826.275457948099,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
conversion,0.2,policy_value,response,0.0009339186638087139,7.231074335792947e-05,0.000796371246855271,0.0010759476168922888,1000,559418,0.1999999284971422,held_out_test,incremental_outcomes_per_test_row,2612.2554892713792,2227.5228472376566,3009.5233956808693,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
conversion,0.5,policy_value,response,0.0009593098499571267,7.432264207517181e-05,0.0008140578589207554,0.0011048946662327761,1000,1398545,0.4999998212428555,held_out_test,incremental_outcomes_per_test_row,2683.2769475264295,2276.9939106665147,3090.490926867702,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
conversion,1.0,policy_value,response,0.0009761132172806408,7.49532769100683e-05,0.0008301661451502872,0.0011209184219895367,1000,2797091,1.0,held_out_test,incremental_outcomes_per_test_row,2730.2774950367248,2322.050253104562,3135.3108298811353,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
conversion,0.05,policy_value,t_learner,0.0006867540323814805,5.662300033951216e-05,0.0005724542568323886,0.0007961564238939044,1000,139854,0.04999980336714108,held_out_test,incremental_outcomes_per_test_row,1920.9135231879475,1601.2066496975626,2226.9219678658246,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
conversion,0.1,policy_value,t_learner,0.0007810143650381936,6.039692720465865e-05,0.0006650769135658798,0.0008961075539978691,1000,279709,0.0999999642485711,held_out_test,incremental_outcomes_per_test_row,2184.568251319046,1860.2806492429002,2506.4943743194535,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
conversion,0.2,policy_value,t_learner,0.0008160439898533943,6.326393821583782e-05,0.0006926821739547701,0.0009352506776565904,1000,559418,0.1999999284971422,held_out_test,incremental_outcomes_per_test_row,2282.5492996230205,1937.4950746293218,2615.9812532171504,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
conversion,0.5,policy_value,t_learner,0.0008603844760578733,6.517632164667041e-05,0.0007321491580653627,0.00099100755678919,1000,1398545,0.4999998212428555,held_out_test,incremental_outcomes_per_test_row,2406.573674521193,2047.8878206822035,2771.938318027032,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
conversion,1.0,policy_value,t_learner,0.0009761132172806408,7.49532769100683e-05,0.0008301661451502872,0.0011209184219895367,1000,2797091,1.0,held_out_test,incremental_outcomes_per_test_row,2730.2774950367248,2322.050253104562,3135.3108298811353,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
conversion,0.05,policy_value,dr_learner,0.0005595451096384964,5.787306720580448e-05,0.00045142041596457096,0.0006748136517048103,1000,139854,0.04999980336714108,held_out_test,incremental_outcomes_per_test_row,1565.0985902638515,1262.6639827107576,1887.5151918606593,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
conversion,0.1,policy_value,dr_learner,0.000573746929726268,5.849040476673103e-05,0.00046301843639218947,0.0006916307294436115,1000,279709,0.0999999642485711,held_out_test,incremental_outcomes_per_test_row,1604.8223734149765,1295.1047012666656,1934.5540886501606,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
conversion,0.2,policy_value,dr_learner,0.0005867105230629615,6.141248398076542e-05,0.00046907721108765694,0.0007071134871330943,1000,559418,0.1999999284971422,held_out_test,incremental_outcomes_per_test_row,1641.082723664702,1312.0516454383853,1977.8607708385937,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
conversion,0.5,policy_value,dr_learner,0.0006966248906402371,6.452774087589603e-05,0.0005751909819090599,0.0008254764463018091,1000,1398545,0.4999998212428555,held_out_test,incremental_outcomes_per_test_row,1948.5232119857915,1608.8615187789942,2308.9327386627733,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
conversion,1.0,policy_value,dr_learner,0.0009761132172806408,7.49532769100683e-05,0.0008301661451502872,0.0011209184219895367,1000,2797091,1.0,held_out_test,incremental_outcomes_per_test_row,2730.2774950367248,2322.050253104562,3135.3108298811353,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
visit,0.05,policy_value,random,0.00035952481357444496,1.3965143216333965e-05,0.00033243028576686095,0.000386196690631234,1000,139854,0.04999980336714108,held_out_test,incremental_outcomes_per_test_row,1005.6236203257579,929.8377604459149,1080.227287594409,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
visit,0.1,policy_value,random,0.0007190521978641613,2.793038628782557e-05,0.0006648629485146147,0.0007723961426900328,1000,279709,0.0999999642485711,held_out_test,incremental_outcomes_per_test_row,2011.2544311760648,1859.6821695236922,2160.4622991530064,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
visit,0.2,policy_value,random,0.0014381043957283227,5.586077257565114e-05,0.0013297258970292295,0.0015447922853800656,1000,559418,0.1999999284971422,held_out_test,incremental_outcomes_per_test_row,4022.5088623521297,3719.3643390473844,4320.924598306013,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
visit,0.5,policy_value,random,0.0035952609893208066,0.0001396519314391277,0.003324314742573073,0.003861980713450163,1000,1398545,0.4999998212428555,held_out_test,incremental_outcomes_per_test_row,10056.272155880324,9298.41084761846,10802.31149576503,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
visit,1.0,policy_value,random,0.007190524549356885,0.0002793039627334131,0.006648631862127039,0.007723964188327892,1000,2797091,1.0,held_out_test,incremental_outcomes_per_test_row,20112.551502285198,18596.828343868783,21604.63071549425,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
visit,0.05,policy_value,response,0.0033680808724897097,0.00015535541027801296,0.0030614221048973606,0.0036702918246930283,1000,139854,0.04999980336714108,held_out_test,incremental_outcomes_per_test_row,9420.828695713115,8563.076216809462,10266.140230222447,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
visit,0.1,policy_value,response,0.005281898341252616,0.0002073384418985355,0.004887792635939935,0.0056922558830053965,1000,279709,0.0999999642485711,held_out_test,incremental_outcomes_per_test_row,14773.95031323262,13671.600791853867,15921.757700051447,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
visit,0.2,policy_value,response,0.0063893942546211745,0.00025573722767274597,0.005899576134963548,0.006878538509638832,1000,559418,0.1999999284971422,held_out_test,incremental_outcomes_per_test_row,17871.717165052596,16501.651310921327,19239.89815846419,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
visit,0.5,policy_value,response,0.007011670374167481,0.000277435608116985,0.006474767706169795,0.007538922625069223,1000,1398545,0.4999998212428555,held_out_test,incremental_outcomes_per_test_row,19612.280098550495,18110.514478018176,21087.052624277498,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
visit,1.0,policy_value,response,0.007190524549356885,0.0002793039627334131,0.006648631862127039,0.007723964188327892,1000,2797091,1.0,held_out_test,incremental_outcomes_per_test_row,20112.551502285198,18596.828343868783,21604.63071549425,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
visit,0.05,policy_value,t_learner,0.0035494989694067262,0.00014888829040878343,0.003246836819242886,0.0038476972015697142,1000,139854,0.04999980336714108,held_out_test,incremental_outcomes_per_test_row,9928.27162183683,9081.698045572904,10762.359213235834,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
visit,0.1,policy_value,t_learner,0.005061550238947217,0.00019439404765423385,0.004667127885606325,0.005437535764296657,1000,279709,0.0999999642485711,held_out_test,incremental_outcomes_per_test_row,14157.61661940711,13054.381404678483,15209.2823484923,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
visit,0.2,policy_value,t_learner,0.006024017463526057,0.00022700135892790254,0.005587903165667803,0.00647597982157951,1000,559418,0.1999999284971422,held_out_test,incremental_outcomes_per_test_row,16849.725031071564,15629.87365356092,18113.904875121654,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
visit,0.5,policy_value,t_learner,0.0064295514557630535,0.0002460418047799418,0.0059329350568483276,0.00690319729831078,1000,1398545,0.4999998212428555,held_out_test,incremental_outcomes_per_test_row,17984.040510951734,16594.959251094944,19308.8710343294,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
visit,1.0,policy_value,t_learner,0.007190524549356885,0.0002793039627334131,0.006648631862127039,0.007723964188327892,1000,2797091,1.0,held_out_test,incremental_outcomes_per_test_row,20112.551502285198,18596.828343868783,21604.63071549425,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
visit,0.05,policy_value,dr_learner,0.0014045089819136756,0.00012901787695772574,0.0011406475575135558,0.001655080853728964,1000,139854,0.04999980336714108,held_out_test,incremental_outcomes_per_test_row,3928.539432729905,3190.4950172931494,4629.411760237602,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
visit,0.1,policy_value,dr_learner,0.0017670858980732495,0.00014092943973699788,0.0014660137970705965,0.002031094922067721,1000,279709,0.0999999642485711,held_out_test,incremental_outcomes_per_test_row,4942.7000617276035,4100.573997661992,5681.157326661324,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
visit,0.2,policy_value,dr_learner,0.002488962073562478,0.0001636757795949187,0.002147606737929424,0.002801600377936018,1000,559418,0.1999999284971422,held_out_test,incremental_outcomes_per_test_row,6961.853415302945,6007.051478201751,7836.331202721434,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
visit,0.5,policy_value,dr_learner,0.004306252159401883,0.00021021249606719257,0.0038864968289467395,0.004702213520726165,1000,1398545,0.4999998212428555,held_out_test,incremental_outcomes_per_test_row,12044.979158793572,10870.885301775465,13152.51911890147,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
visit,1.0,policy_value,dr_learner,0.007190524549356885,0.0002793039627334131,0.006648631862127039,0.007723964188327892,1000,2797091,1.0,held_out_test,incremental_outcomes_per_test_row,20112.551502285198,18596.828343868783,21604.63071549425,expected_incremental_outcomes_in_test_cohort,held_out_policy_value
